Addr: 4 ; Command: 1 ; Pressure: -98,3379400 kPa ; Time: 22:31:58.272 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3362800 kPa ; Time: 22:31:59.273 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351300 kPa ; Time: 22:32:00.274 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339800 kPa ; Time: 22:32:01.276 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345500 kPa ; Time: 22:32:02.273 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345500 kPa ; Time: 22:32:03.261 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351200 kPa ; Time: 22:32:04.280 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351200 kPa ; Time: 22:32:05.279 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3367800 kPa ; Time: 22:32:06.279 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3362700 kPa ; Time: 22:32:07.300 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3350900 kPa ; Time: 22:32:08.300 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3362500 kPa ; Time: 22:32:09.310 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3362500 kPa ; Time: 22:32:10.326 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3367500 kPa ; Time: 22:32:11.312 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3367500 kPa ; Time: 22:32:12.324 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3350900 kPa ; Time: 22:32:13.343 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339500 kPa ; Time: 22:32:14.351 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345300 kPa ; Time: 22:32:15.337 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3333800 kPa ; Time: 22:32:16.347 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345300 kPa ; Time: 22:32:17.350 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339500 kPa ; Time: 22:32:18.351 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339600 kPa ; Time: 22:32:19.347 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3328000 kPa ; Time: 22:32:20.367 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339600 kPa ; Time: 22:32:21.357 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3333800 kPa ; Time: 22:32:22.365 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351100 kPa ; Time: 22:32:23.364 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3362700 kPa ; Time: 22:32:24.366 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351100 kPa ; Time: 22:32:25.395 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3362700 kPa ; Time: 22:32:26.396 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3367600 kPa ; Time: 22:32:27.396 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3385000 kPa ; Time: 22:32:28.428 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3374200 kPa ; Time: 22:32:29.419 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3384800 kPa ; Time: 22:32:30.436 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3367500 kPa ; Time: 22:32:31.439 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3356600 kPa ; Time: 22:32:32.441 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339200 kPa ; Time: 22:32:33.441 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345000 kPa ; Time: 22:32:34.441 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339200 kPa ; Time: 22:32:35.438 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339200 kPa ; Time: 22:32:36.456 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339200 kPa ; Time: 22:32:37.475 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345000 kPa ; Time: 22:32:38.474 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3327900 kPa ; Time: 22:32:39.478 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345300 kPa ; Time: 22:32:40.467 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345100 kPa ; Time: 22:32:41.478 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345100 kPa ; Time: 22:32:42.466 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339400 kPa ; Time: 22:32:43.492 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3327900 kPa ; Time: 22:32:44.488 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3328000 kPa ; Time: 22:32:45.504 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345300 kPa ; Time: 22:32:46.487 ; Date: 27.11.2020
