BeltAmpere_belt1,BeltAmpere_belt1_qc,BeltAmpere_belt2,BeltAmpere_belt2_qc,BeltAmpere_belt3,BeltAmpere_belt3_qc,Cumulative_LIN_flow,Cumulative_LIN_flow_qc,Cumulative_product_flow,Cumulative_product_flow_qc,FanAmpere_exhaust1,FanAmpere_exhaust1_qc,FanAmpere_exhaust2,FanAmpere_exhaust2_qc,FanAmpere_side,FanAmpere_side_qc,FanAmpere_top,FanAmpere_top_qc,Fanspeed_exhaust1,Fanspeed_exhaust1_qc,Fanspeed_exhaust2,Fanspeed_exhaust2_qc,Fanspeed_side,Fanspeed_side_qc,Fanspeed_top,Fanspeed_top_qc,LIN_flow,LIN_flow_qc,Product_flow,Product_flow_qc,ResidenceTime_belt1,ResidenceTime_belt1_qc,ResidenceTime_belt2,ResidenceTime_belt2_qc,ResidenceTime_belt3,ResidenceTime_belt3_qc,Temp_exhaust_in,Temp_exhaust_in_qc,Temp_exhaust_out,Temp_exhaust_out_qc,Temp_product_in,Temp_product_in_qc,Temp_product_out,Temp_product_out_qc,Temp_tunnel_measured,Temp_tunnel_measured_qc,Temp_tunnel_set,Temp_tunnel_set_qc,Vanne_opening_rate,Vanne_opening_rate_qc,_time
0.0024414062,0,0.0024414062,0,0.0024414062,0,388467,0,210730,0,3.0521913,0,3.4864106,0,0,0,0,0,100,0,100,0,0,0,0,0,189.64497,0,1.1753991e-34,0,0,0,0,0,0,0,14.2,0,14,0,0,0,0,0,12.2,0,0,0,0,0,"2020-09-16T00:36:32.758Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388470,0,210730,0,3.0273163,0,3.5077941,0,0,0,0,0,100,0,100,0,0,0,0,0,194.17804,0,1.1753991e-34,0,0,0,0,0,0,0,14.2,0,14,0,0,0,0,0,12.2,0,0,0,0,0,"2020-09-16T00:37:31.353Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388473,0,210730,0,3.011606,0,3.508667,0,0,0,0,0,100,0,100,0,0,0,0,0,194.8406,0,1.1753991e-34,0,0,0,0,0,0,0,14.2,0,14,0,0,0,0,0,12.2,0,0,0,0,0,"2020-09-16T00:38:33.784Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388477,0,210730,0,3.0609193,0,3.4981935,0,0,0,0,0,100,0,100,0,0,0,0,0,200.66364,0,1.1753991e-34,0,0,0,0,0,0,0,14.2,0,13.9,0,0,0,0,0,12.2,0,0,0,0,0,"2020-09-16T00:39:32.777Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388481,0,210730,0,3.022516,0,3.484665,0,0,0,0,0,100,0,100,0,0,0,0,0,198.57106,0,1.1753991e-34,0,0,0,0,0,0,0,14.1,0,13.9,0,0,0,0,0,12.1,0,0,0,0,0,"2020-09-16T00:40:31.366Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388484,0,210730,0,2.991095,0,3.489029,0,0,0,0,0,100,0,100,0,0,0,0,0,197.13211,0,1.1753991e-34,0,0,0,0,0,0,0,14.1,0,13.8,0,0,0,0,0,12.1,0,0,0,0,0,"2020-09-16T00:41:32.791Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388487,0,210730,0,3.0369172,0,3.5872192,0,0,0,0,0,100,0,100,0,0,0,0,0,181.21854,0,1.1753991e-34,0,0,0,0,0,0,0,14.1,0,13.8,0,0,0,0,0,12.1,0,0,0,0,0,"2020-09-16T00:42:31.366Z"
0.0024414062,0,0.0024414062,0,0.0030517578,0,388491,0,210730,0,3.0434632,0,3.522632,0,0,0,0,0,100,0,100,0,0,0,0,0,190.39323,0,1.1753991e-34,0,0,0,0,0,0,0,14,0,13.7,0,0,0,0,0,12.1,0,0,0,0,0,"2020-09-16T00:43:33.779Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388494,0,210730,0,3.050882,0,3.5008118,0,0,0,0,0,100,0,100,0,0,0,0,0,208.21463,0,1.1753991e-34,0,0,0,0,0,0,0,14,0,13.7,0,0,0,0,0,12,0,0,0,0,0,"2020-09-16T00:44:32.511Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:45:32.754Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388502,0,210730,0,3.0212066,0,3.526996,0,0,0,0,0,100,0,100,0,0,0,0,0,204.58669,0,1.1753991e-34,0,0,0,0,0,0,0,13.9,0,13.6,0,0,0,0,0,12,0,0,0,0,0,"2020-09-16T00:46:32.782Z"
